,0,
0,shadow,TRUE
1,ring,TRUE
2,sword,TRUE
3,bird,TRUE
4,tree,TRUE
7,farmer,TRUE
8,snow,TRUE
9,hunter,TRUE
11,ruins,TRUE
12,elements,FALSE
13,flight,TRUE
14,musician,TRUE
15,triumph,TRUE
16,ark,TRUE
17,eagle,TRUE
18,love,TRUE
19,bow,TRUE
20,salvation,TRUE
22,body,FALSE
23,twilight,TRUE
24,birds,FALSE
25,venus,TRUE
27,branch,TRUE
28,hero,TRUE
29,laurel,TRUE
30,chariot,TRUE
31,lover,TRUE
32,procession,FALSE
33,prince,TRUE
34,relief,FALSE
38,cold,FALSE
39,jupiter,TRUE
41,animals,TRUE
43,wine,TRUE
44,column,TRUE
45,eight,FALSE
47,hair,FALSE
48,hand,FALSE
50,devil,TRUE
51,object,FALSE
52,goblet,TRUE
53,treasure,TRUE
54,light,TRUE
57,heaven,TRUE
58,bell,TRUE
59,wolf,TRUE
61,meadow,TRUE
62,fire,TRUE
63,earth,TRUE
64,valley,TRUE
65,arrow,TRUE
66,lion,TRUE
67,child,TRUE
72,vessel,TRUE
73,woman,TRUE
74,world,TRUE
75,shepherd,TRUE
76,hat,TRUE
78,head,FALSE
80,egypt,TRUE
81,music,TRUE
83,journey,TRUE
84,marks,FALSE
86,bear,TRUE
87,four,FALSE
88,twelve,FALSE
94,return,FALSE
99,cow,TRUE
100,apollo,TRUE
101,storm,TRUE
103,power,TRUE
105,fall,TRUE
106,figures,FALSE
107,six,FALSE
108,cross,TRUE
109,steps,FALSE
110,moon,TRUE
114,bath,FALSE
117,mask,TRUE
118,nature,TRUE
119,stone,TRUE
120,strength,TRUE
122,drink,TRUE
123,darkness,TRUE
124,horse,TRUE
125,box,TRUE
127,flute,TRUE
129,city,TRUE
130,matter,TRUE
131,horns,TRUE
132,desert,TRUE
133,crown,TRUE
135,mother,TRUE
136,sound,FALSE
138,secret,TRUE
139,lamp,TRUE
140,night,TRUE
141,fountain,TRUE
144,oak,TRUE
146,rock,TRUE
148,father,TRUE
149,mirror,TRUE
150,white,FALSE
151,stars,TRUE
152,names,FALSE
153,ages,TRUE
155,blood,TRUE
158,sun,TRUE
160,wall,TRUE
162,death,TRUE
163,window,TRUE
164,vine,TRUE
165,wings,TRUE
166,destruction,TRUE
169,bridge,TRUE
171,giant,TRUE
172,hunt,TRUE
174,pillar,TRUE
176,heart,TRUE
177,dwarf,TRUE
178,creation,TRUE
180,knife,TRUE
181,ten,FALSE
182,crowd,TRUE
184,wheel,TRUE
185,wood,TRUE
186,dog,TRUE
187,dust,TRUE
189,clouds,TRUE
190,waves,TRUE
195,chain,TRUE
197,shape,TRUE
200,fish,TRUE
203,centre,TRUE
204,seasons,TRUE
206,pan,TRUE
207,throne,TRUE
209,castle,TRUE
212,point,TRUE
213,circle,TRUE
215,fruit,TRUE
217,stag,TRUE
218,eye,TRUE
219,sea,TRUE
220,emperor,TRUE
222,king,TRUE
224,garden,TRUE
225,man,TRUE
226,numbers,TRUE
229,radiance,TRUE
231,west,TRUE
232,marriage,TRUE
233,weaving,TRUE
236,forest,TRUE
239,time,TRUE
240,halo,TRUE
241,mouth,TRUE
242,water,TRUE
244,ass,TRUE
245,garland,TRUE
246,voyage,TRUE
247,cloak,TRUE
249,double,FALSE
251,book,TRUE
252,house,TRUE
253,dove,TRUE
257,eve,TRUE
258,palace,TRUE
259,colour,TRUE
262,space,FALSE
263,dance,TRUE
264,victory,TRUE
265,instruments,TRUE
266,basket,TRUE
267,one,FALSE
268,combat,TRUE
269,hell,TRUE
270,fight,TRUE
271,thorn,TRUE
272,room,TRUE
273,ivy,TRUE
274,war,TRUE
275,skull,TRUE
277,skin,TRUE
279,level,TRUE
280,gold,TRUE
281,apple,TRUE
282,door,TRUE
283,well,TRUE
284,dragon,TRUE
285,thread,TRUE
290,hours,FALSE
294,air,TRUE
295,life,TRUE
297,foot,TRUE
300,nymphs,TRUE
301,image,TRUE
303,island,TRUE
304,seven,FALSE
305,bottle,TRUE
307,three,FALSE
309,hare,TRUE
310,mist,TRUE
311,arm,TRUE
313,sign,TRUE
314,clothes,TRUE
315,wind,TRUE
316,paradise,TRUE
317,temple,TRUE
318,choice,TRUE
323,pomegranate,TRUE
324,warriors,TRUE
325,year,TRUE
326,ship,TRUE
327,boat,TRUE
328,mountain,TRUE
330,serpent,TRUE
331,tower,TRUE
332,river,TRUE
333,crystal,TRUE
334,sacrifice,TRUE
335,tomb,TRUE
338,fields,TRUE
339,disguise,TRUE
340,mars,TRUE
